Start	End	Direction	Weight
ABI1	ABL1	0	1
ABI2	ABL1	0	1
ACTL6A	ACTR5	0	1
ACTL6A	ACTR8	0	1
ACTR5	ACTR8	0	1
ACVR1B	ACVR2A	0	1
ACVR1B	ACVR2B	0	1
AFF1	AFF4	0	1
AHR	AIP	0	1
ANAPC1	ANAPC2	0	1
ANAPC1	ANAPC4	0	1
ANAPC1	ANAPC5	0	1
ANAPC2	ANAPC5	0	1
ANAPC4	ANAPC5	0	1
ANAPC1	ANAPC7	0	1
ANAPC5	ANAPC7	0	1
AP1B1	AP1G1	0	1
AP1G1	AP1M1	0	1
AP1G1	AP1S1	0	1
APBB1	APLP2	0	1
APBA1	APP	0	1
APBA2	APP	0	1
APBA3	APP	0	1
APBB1	APP	0	1
APBB2	APP	0	1
AKT2	APPL1	0	1
ARF5	ARFIP2	0	1
ARF6	ARFIP2	0	1
AHR	ARNT	0	1
AIP	ARNT	0	1
ARR3	ARRB1	0	1
AP2B1	ARRB2	0	1
ARRB1	ARRB2	0	1
ATG12	ATG16L1	0	1
ATG12	ATG3	0	1
ATG12	ATG5	0	1
ATG3	ATG7	0	1
ABL1	ATM	0	1
ATR	ATRIP	0	1
APC	AXIN1	0	1
AR	BAG1	0	1
ANKRD17	BAP1	0	1
ASXL1	BAP1	0	1
ASXL2	BAP1	0	1
BACH1	BARD1	0	1
BAK1	BAX	0	1
ARHGAP32	BCAR1	0	1
BAD	BCL2	0	1
BAK1	BCL2	0	1
BAX	BCL2	0	1
BBC3	BCL2	0	1
APAF1	BCL2L1	0	1
BAD	BCL2L1	0	1
BAK1	BCL2L1	0	1
BAX	BCL2L1	0	1
BBC3	BCL2L1	0	1
BCL2	BCL2L11	0	1
BCL2L1	BCL2L11	0	1
BAD	BCL2L2	0	1
BAX	BCL2L2	0	1
BCL6	BCOR	0	1
ABL1	BCR	0	1
AMBRA1	BECN1	0	1
ATG14	BECN1	0	1
BCL2	BECN1	0	1
BCL2L1	BECN1	0	1
BCL2	BID	0	1
BCL2	BIK	0	1
BCL2L1	BIK	0	1
BCL10	BIRC2	0	1
BCL10	BIRC3	0	1
AURKB	BIRC5	0	1
BMP2	BMPR1A	0	1
BMP4	BMPR1B	0	1
BMP2	BMPR2	0	1
BMPR1A	BMPR2	0	1
BMPR1B	BMPR2	0	1
ARHGAP1	BNIP2	0	1
BCL2	BNIP3L	0	1
ARHGAP1	BNIPL	0	1
BCL2	BNIPL	0	1
ACACA	BRCA1	0	1
AKT1	BRCA1	0	1
AR	BRCA1	0	1
ATM	BRCA1	0	1
ATR	BRCA1	0	1
BABAM1	BRCA1	0	1
BACH1	BRCA1	0	1
BARD1	BRCA1	0	1
BARD1	BRCA2	0	1
BRCA1	BRCA2	0	1
BABAM1	BRCC3	0	1
BARD1	BRCC3	0	1
BRCA1	BRCC3	0	1
BRCA2	BRCC3	0	1
BABAM1	BRE	0	1
BRCC3	BRE	0	1
BRCA1	BRIP1	0	1
BLNK	BTK	0	1
APC	BTRC	0	1
ATF4	BTRC	0	1
BORA	BTRC	0	1
ANAPC7	BUB1B	0	1
BUB1B	BUB3	0	1
ATG13	C12ORF44	0	1
ACTL6A	C20ORF20	0	1
BRD8	C20ORF20	0	1
APOB	CALCR	0	1
APOB	CANX	0	1
BCL10	CARD11	0	1
APBA1	CASK	0	1
BIRC2	CASP3	0	1
BIRC5	CASP3	0	1
BIRC2	CASP7	0	1
BIRC3	CASP7	0	1
BIRC5	CASP7	0	1
BCAP31	CASP8	0	1
CASP10	CASP8	0	1
CASP8	CASP8AP2	0	1
APAF1	CASP9	0	1
BIRC2	CASP9	0	1
BIRC3	CASP9	0	1
BIRC7	CASP9	0	1
CAV1	CAV2	0	1
ABL1	CBL	0	1
ARHGEF7	CBL	0	1
C11ORF30	CBX1	0	1
CBX1	CBX3	0	1
BMI1	CBX4	0	1
ADNP	CBX5	0	1
BCL11B	CBX5	0	1
CBX1	CBX5	0	1
CBX3	CBX5	0	1
BMI1	CBX8	0	1
AR	CCND1	0	1
BRCA1	CCND1	0	1
AFF1	CCNT1	0	1
AFF4	CCNT1	0	1
BRD4	CCNT1	0	1
CCL5	CCR1	0	1
CCL5	CCR3	0	1
CCL3L1	CCR5	0	1
CCL5	CCR5	0	1
CD19	CD22	0	1
CBL	CD2AP	0	1
CD2	CD2AP	0	1
CD2	CD2BP2	0	1
AMFR	CD3D	0	1
CD3E	CD3G	0	1
BLNK	CD79A	0	1
CD19	CD81	0	1
CD19	CD82	0	1
ANAPC4	CDC16	0	1
BUB1B	CDC16	0	1
ANAPC1	CDC20	0	1
ANAPC10	CDC20	0	1
ANAPC2	CDC20	0	1
ANAPC5	CDC20	0	1
ANAPC7	CDC20	0	1
BUB1B	CDC20	0	1
CDC16	CDC20	0	1
ANAPC4	CDC23	0	1
CDC20	CDC23	0	1
BTRC	CDC25A	0	1
CCNE1	CDC25A	0	1
CDC16	CDC26	0	1
ANAPC1	CDC27	0	1
ANAPC10	CDC27	0	1
ANAPC11	CDC27	0	1
ANAPC2	CDC27	0	1
ANAPC4	CDC27	0	1
ANAPC5	CDC27	0	1
ANAPC7	CDC27	0	1
APC2	CDC27	0	1
BUB1B	CDC27	0	1
CCNB1	CDC27	0	1
CDC16	CDC27	0	1
CDC20	CDC27	0	1
CDC23	CDC27	0	1
CDC26	CDC27	0	1
BTRC	CDC34	0	1
ARHGAP1	CDC42	0	1
ARHGEF7	CDC42	0	1
BAIAP2	CDC42	0	1
BNIP2	CDC42	0	1
CDC42	CDC42EP2	0	1
CDC42	CDC42EP5	0	1
CCNA2	CDC6	0	1
BCL9	CDC73	0	1
AURKB	CDCA8	0	1
BIRC5	CDCA8	0	1
CBLL1	CDH1	0	1
CDC27	CDH1	0	1
BCL2	CDK1	0	1
CCNA1	CDK1	0	1
CCNA2	CDK1	0	1
CCNB1	CDK1	0	1
CCNE1	CDK1	0	1
CDC25C	CDK1	0	1
BRCA1	CDK2	0	1
CCNA1	CDK2	0	1
CCNA2	CDK2	0	1
CCNE1	CDK2	0	1
CCNE2	CDK2	0	1
CCND1	CDK4	0	1
CCND2	CDK4	0	1
CCND3	CDK4	0	1
CDC37	CDK4	0	1
CDK5	CDK5R1	0	1
CCND1	CDK6	0	1
CCND3	CDK6	0	1
